seat_name,url_for_checking,cand_name,cand_party,cand_party_short,cand_votes,total_votes,cand_vote_share_percent,cand_position
Kalkaji,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0551.htm,Rajesh Kumar,Veer Janshakti Party,VJP,23,106876,0.0,13
Kalkaji,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0551.htm,Nota,None of the Above,NA,556,106876,0.5,14
Tughlakabad,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0552.htm,Sahi Ram,Aam Aadmi Party,AAP,62155,114938,54.1,1
Tughlakabad,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0552.htm,Rohtash Kumar,Bharatiya Janata Party,BJP,47444,114938,41.3,2
Tughlakabad,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0552.htm,Virender Singh,Indian National Congress,CONG,2313,114938,2.0,3
Tughlakabad,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0552.htm,Amjad Hasan,Bahujan Samaj Party,BSP,1606,114938,1.4,4
Tughlakabad,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0552.htm,Parveen Chauhan,Samata Party,SP,323,114938,0.3,5
Tughlakabad,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0552.htm,Naresh Kumar,Right to Recall Party,RRP,199,114938,0.2,6
Tughlakabad,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0552.htm,Rekha Singh,Independent,Ind.,143,114938,0.1,7
Tughlakabad,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0552.htm,Khursheed Abbas Zaidi,Rashtriya Bahujan Congress Party,RBCP,133,114938,0.1,8
Tughlakabad,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0552.htm,Chaman Lal,Peoples Party of India (Democratic),PPI(D),86,114938,0.1,9
Tughlakabad,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0552.htm,Nota,None of the Above,NA,536,114938,0.5,10
Badarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0553.htm,Ram Singh Netaji,Aam Aadmi Party,AAP,112991,208095,54.3,1
Badarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0553.htm,Narayan Dutt Sharma,Bharatiya Janata Party,BJP,87103,208095,41.9,2
Badarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0553.htm,Arjun Singh Bhadana,Indian National Congress,CONG,3145,208095,1.5,3
Badarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0553.htm,Pardeep,Bahujan Samaj Party,BSP,1965,208095,0.9,4
Badarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0553.htm,Rahul Rai,Samata Party,SP,466,208095,0.2,5
Badarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0553.htm,Jagdish Chand,Communist Party of India  (Marxist),CPI(M),367,208095,0.2,6
Badarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0553.htm,Imran Saifi,Nationalist Congress Party,NCP,322,208095,0.2,7
Badarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0553.htm,Deepak Rawat,Independent,Ind.,219,208095,0.1,8
Badarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0553.htm,Hari Ram,Rashtriya Bahujan Congress Party,RBCP,185,208095,0.1,9
Badarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0553.htm,Om Prakash Gupta,Independent,Ind.,176,208095,0.1,10
Badarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0553.htm,Ram Bahadur,Akhil Bhartiya Manavatavadi Party,ABMP,134,208095,0.1,11
Badarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0553.htm,Brijpal,Bharatiya Sampuran Krantikari Party,BSKP,107,208095,0.1,12
Badarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0553.htm,Nota,None of the Above,NA,915,208095,0.4,13
Okhla,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0554.htm,Amanatullah Khan,Aam Aadmi Party,AAP,88943,209522,42.5,1
Okhla,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0554.htm,Manish Chaudhary,Bharatiya Janata Party,BJP,65304,209522,31.2,2
Okhla,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0554.htm,Shifa Ur Rehman Khan,All India Majlis-E-Ittehadul Muslimeen,AIMEIM,39558,209522,18.9,3
Okhla,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0554.htm,Ariba Khan,Indian National Congress,CONG,12739,209522,6.1,4
Okhla,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0554.htm,Satish Kumar,Bahujan Samaj Party,BSP,756,209522,0.4,5
Okhla,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0554.htm,Sher Mohammad,Azad Samaj Party,ASP,290,209522,0.1,6
Okhla,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0554.htm,Sheikh Arsalan Ullah Chishti,Independent,Ind.,270,209522,0.1,7
Okhla,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0554.htm,Md Injamamul Hassan,Communist Party of India,CPI,259,209522,0.1,8
Okhla,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0554.htm,Rizwana Khatoon,Socialist Unity Centre Of India (COMMUNIST),SUCOI(COMMUNIST),221,209522,0.1,9
Okhla,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0554.htm,Hammad Khan,Independent,Ind.,180,209522,0.1,10
Okhla,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0554.htm,Firdos Alam,Bhartiya Insan Party,BIP,148,209522,0.1,11
Okhla,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0554.htm,Kaneez Fatima,Aihra National Party,ANP,126,209522,0.1,12
Okhla,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0554.htm,Mohd Islam,Right to Recall Party,RRP,83,209522,0.0,13
Okhla,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0554.htm,Jamaluddin,Buland Bharat Party,BBP,41,209522,0.0,14
Okhla,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0554.htm,Nota,None of the Above,NA,604,209522,0.3,15
Trilokpuri,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0555.htm,Ravi Kant,Bharatiya Janata Party,BJP,58217,126283,46.1,1
Trilokpuri,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0555.htm,Anjana Parcha,Aam Aadmi Party,AAP,57825,126283,45.8,2
Trilokpuri,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0555.htm,Amardeep,Indian National Congress,CONG,6147,126283,4.9,3
Trilokpuri,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0555.htm,Vicky,Aazad Samaj Party (Kanshi Ram),ASP(KR),1681,126283,1.3,4
Trilokpuri,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0555.htm,Nand Lal,Bahujan Samaj Party,BSP,1322,126283,1.0,5
Trilokpuri,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0555.htm,Naveen Ram,Independent,Ind.,272,126283,0.2,6
Trilokpuri,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0555.htm,Sarita Singh,Akhil Bharatiya Socialist Party,ABSP,136,126283,0.1,7
Trilokpuri,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0555.htm,Nota,None of the Above,NA,683,126283,0.5,8
Kondli,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0556.htm,Kuldeep Kumar (Monu),Aam Aadmi Party,AAP,61792,128730,48.0,1
Kondli,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0556.htm,Priyanka Gautam,Bharatiya Janata Party,BJP,55499,128730,43.1,2
Kondli,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0556.htm,Akshay Kumar,Indian National Congress,CONG,7230,128730,5.6,3
Kondli,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0556.htm,Mukesh Kumar,Bahujan Samaj Party,BSP,2438,128730,1.9,4
Kondli,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0556.htm,Sunny Kumar,Aazad Samaj Party (Kanshi Ram),ASP(KR),418,128730,0.3,5
Kondli,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0556.htm,Asha Kamble,Republican Party of India (Athawale),RPI(A),188,128730,0.1,6
Kondli,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0556.htm,Surender Singh,Swaraj Bhartiya Nyay Party,SBNP,167,128730,0.1,7
Kondli,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0556.htm,Nikhil Kumar Pipal,Right to Recall Party,RRP,122,128730,0.1,8
Kondli,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0556.htm,Amarjeet Prasad,Communist Party of India  (Marxist-Leninist)  (Liberation),CPI(ML)(L),100,128730,0.1,9
Kondli,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0556.htm,Nota,None of the Above,NA,776,128730,0.6,10
Patparganj,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0557.htm,Ravinder Singh Negi (Ravi Negi),Bharatiya Janata Party,BJP,74060,138652,53.4,1
Patparganj,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0557.htm,Avadh Ojha,Aam Aadmi Party,AAP,45988,138652,33.2,2
Patparganj,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0557.htm,Anil Kumar,Indian National Congress,CONG,16549,138652,11.9,3
Patparganj,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0557.htm,Om Shankar Pandey,Bahujan Samaj Party,BSP,756,138652,0.5,4
Patparganj,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0557.htm,Prakash Chandra Joshi,Bhartiya Rashtriya Jansatta,BRJ,188,138652,0.1,5
Patparganj,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0557.htm,Gopal Prasad,Delhi Janta Party,DJP,137,138652,0.1,6
Patparganj,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0557.htm,Diblu Singh,Independent,Ind.,117,138652,0.1,7
Patparganj,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0557.htm,Jagdish  Ojha,Independent,Ind.,108,138652,0.1,8
Patparganj,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0557.htm,Deepa Devi,Aihra National Party,ANP,57,138652,0.0,9
Patparganj,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0557.htm,Nota,None of the Above,NA,692,138652,0.5,10
Laxmi Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0558.htm,Abhay Verma,Bharatiya Janata Party,BJP,65858,126382,52.1,1
Laxmi Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0558.htm,B B Tyagi,Aam Aadmi Party,AAP,54316,126382,43.0,2
Laxmi Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0558.htm,Sumit Sharma,Indian National Congress,CONG,4316,126382,3.4,3
Laxmi Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0558.htm,Mohd Waqar Choudhary,Bahujan Samaj Party,BSP,388,126382,0.3,4
Laxmi Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0558.htm,Gandhi Gautam,Aazad Samaj Party (Kanshi Ram),ASP(KR),173,126382,0.1,5
Laxmi Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0558.htm,Vikas,Aapsi Sahyog Party,ASP,135,126382,0.1,6
Laxmi Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0558.htm,Deepak Pandey,Magadh Congress of Inda,MCI,107,126382,0.1,7
Laxmi Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0558.htm,Jagdish Kumar Garg,Independent,Ind.,74,126382,0.1,8
Laxmi Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0558.htm,Vimal Kumar Saxena,Independent,Ind.,69,126382,0.1,9
Laxmi Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0558.htm,Namaha,Nationalist Congress Party,NCP,48,126382,0.0,10
Laxmi Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0558.htm,Anurag Kumar,Independent,Ind.,48,126382,0.0,11
Laxmi Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0558.htm,Kusum Lata,Peoples Party of India (Democratic),PPI(D),46,126382,0.0,12
Laxmi Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0558.htm,Anima Ojha,Right to Recall Party,RRP,45,126382,0.0,13
Laxmi Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0558.htm,Danveer Vidyalankar,Rashtra Nirman Party,RNP,41,126382,0.0,14
Laxmi Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0558.htm,Ismail,Voice of Awam Party,VAP,32,126382,0.0,15
Laxmi Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0558.htm,Nota,None of the Above,NA,686,126382,0.5,16
Vishwas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0559.htm,Om Prakash Sharma,Bharatiya Janata Party,BJP,72141,125022,57.7,1
Vishwas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0559.htm,Deepak Singhal,Aam Aadmi Party,AAP,47099,125022,37.7,2
Vishwas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0559.htm,Rajiv Chaudhary,Indian National Congress,CONG,3627,125022,2.9,3
Vishwas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0559.htm,Rajesh Kumar Yadav,Bahujan Samaj Party,BSP,443,125022,0.4,4
Vishwas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0559.htm,Bhawana Bothra,Veer Janshakti Party,VJP,217,125022,0.2,5
Vishwas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0559.htm,Gurmeet Singh,Jai Maha Bharath Party,JMBP,161,125022,0.1,6
Vishwas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0559.htm,Parag Jain,Aam Aadmi Parivartan Party,AAPP,142,125022,0.1,7
Vishwas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0559.htm,Deepak Kumar,Bharatiy Aam Janta Adhikar Party,BAJAP,49,125022,0.0,8
Vishwas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0559.htm,Neelam Singh,Peoples Party of India (Democratic),PPI(D),49,125022,0.0,9
Vishwas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0559.htm,Anil Kumar,National Youth Party,NYP,47,125022,0.0,10
Vishwas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0559.htm,Nota,None of the Above,NA,1047,125022,0.8,11
Krishna Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0560.htm,Dr Anil Goyal,Bharatiya Janata Party,BJP,75922,143405,52.9,1
Krishna Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0560.htm,Vikas Bagga Ca,Aam Aadmi Party,AAP,56424,143405,39.3,2
Krishna Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0560.htm,Gurcharan Singh (Raju),Indian National Congress,CONG,9393,143405,6.5,3
Krishna Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0560.htm,Amar Singh,Bahujan Samaj Party,BSP,552,143405,0.4,4
Krishna Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0560.htm,Vinod Kapoor,Independent,Ind.,191,143405,0.1,5
Krishna Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0560.htm,Poonam Maini,National Youth Party,NYP,131,143405,0.1,6
Krishna Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0560.htm,Vidhayak Virendra Pradhan Gurjar,Samrat Mihir Bhoj Samaj Party,SMBSP,96,143405,0.1,7
Krishna Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0560.htm,Nota,None of the Above,NA,696,143405,0.5,8
Gandhi Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0561.htm,Arvinder Singh Lovely,Bharatiya Janata Party,BJP,56858,105404,53.9,1
Gandhi Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0561.htm,Naveen Chaudhary (Deepu),Aam Aadmi Party,AAP,44110,105404,41.8,2
Gandhi Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0561.htm,Kamal Arora (Dabbu),Indian National Congress,CONG,3453,105404,3.3,3
Gandhi Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0561.htm,Tikraj Singh,Bahujan Samaj Party,BSP,235,105404,0.2,4
Gandhi Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0561.htm,Pawan Choudhry,Jatiya Jana Sena Party,JJSP,190,105404,0.2,5
Gandhi Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0561.htm,Gulfam,Independent,Ind.,156,105404,0.1,6
Gandhi Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0561.htm,Nota,None of the Above,NA,402,105404,0.4,7
Shahdara,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0562.htm,Sanjay Goyal,Bharatiya Janata Party,BJP,62788,126517,49.6,1
Shahdara,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0562.htm,Jitender Singh Shunty,Aam Aadmi Party,AAP,57610,126517,45.5,2
Shahdara,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0562.htm,Jagat Singh,Indian National Congress,CONG,3862,126517,3.1,3
Shahdara,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0562.htm,Dharmindra Kumar Kaim,Bahujan Samaj Party,BSP,596,126517,0.5,4
Shahdara,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0562.htm,Vinay Chaudhari,Independent,Ind.,579,126517,0.5,5
Shahdara,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0562.htm,Nitin Garg,Aam Aadmi Parivartan Party,AAPP,182,126517,0.1,6
Shahdara,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0562.htm,Kamal Kishore,National Youth Party,NYP,145,126517,0.1,7
Shahdara,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0562.htm,Ashok Surana,Independent,Ind.,87,126517,0.1,8
Shahdara,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0562.htm,Rajendra Kumar Pal,Nationalist Congress Party,NCP,58,126517,0.0,9
Shahdara,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0562.htm,Dilip Banerjee,Independent,Ind.,52,126517,0.0,10
Shahdara,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0562.htm,Nota,None of the Above,NA,558,126517,0.4,11
Seema Puri,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0563.htm,Veer Singh Dhingan,Aam Aadmi Party,AAP,66353,136957,48.4,1
Seema Puri,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0563.htm,Ku. Rinku,Bharatiya Janata Party,BJP,55985,136957,40.9,2
Seema Puri,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0563.htm,Rajesh Lilothia,Indian National Congress,CONG,11823,136957,8.6,3
Seema Puri,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0563.htm,Manoj,Bahujan Samaj Party,BSP,867,136957,0.6,4
Seema Puri,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0563.htm,Anil Kumar,Aazad Samaj Party (Kanshi Ram),ASP(KR),654,136957,0.5,5
Seema Puri,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0563.htm,Ajay Kumar,Peoples Party of India (Democratic),PPI(D),277,136957,0.2,6
Seema Puri,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0563.htm,Saroj Bala,Swatantra Jantaraj Party,SJP,163,136957,0.1,7
Seema Puri,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0563.htm,Ashish Kumar,Independent,Ind.,158,136957,0.1,8
Seema Puri,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0563.htm,Rajesh Kumar Lohiya,Nationalist Congress Party,NCP,110,136957,0.1,9
Seema Puri,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0563.htm,Charan Singh Maliyan,Right to Recall Party,RRP,58,136957,0.0,10
Seema Puri,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0563.htm,Rajesh,Bharatiya Sarvodaya Kranti Party,BSKP,51,136957,0.0,11
Seema Puri,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0563.htm,Nota,None of the Above,NA,458,136957,0.3,12
Rohtas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0564.htm,Jitender Mahajan,Bharatiya Janata Party,BJP,82896,144317,57.4,1
Rohtas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0564.htm,Sarita Singh,Aam Aadmi Party,AAP,54994,144317,38.1,2
Rohtas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0564.htm,Sureshvati,Indian National Congress,CONG,3639,144317,2.5,3
Rohtas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0564.htm,Ashok Kumar,Bahujan Samaj Party,BSP,953,144317,0.7,4
Rohtas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0564.htm,Vikas Tyagi,Independent,Ind.,550,144317,0.4,5
Rohtas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0564.htm,Surender Singh Vishwakarma,Aazad Samaj Party (Kanshi Ram),ASP(KR),174,144317,0.1,6
Rohtas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0564.htm,Abhishek,Nationalist Congress Party,NCP,91,144317,0.1,7
Rohtas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0564.htm,Suresh Pal Jainth,Independent,Ind.,72,144317,0.0,8
Rohtas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0564.htm,Naseem Usman,Bharatiya Liberal Party,BLP,63,144317,0.0,9
Rohtas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0564.htm,Pankaj Gupta,Sarvodaya Prabhat Party,SPP,54,144317,0.0,10
Rohtas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0564.htm,Akeshan Dut,Bhartiya Rashtriya Dal,BRD,48,144317,0.0,11
Rohtas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0564.htm,Nitin Mittal,Independent,Ind.,45,144317,0.0,12
Rohtas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0564.htm,Amit Kumar Sharma,Sanjhi Virasat Party,SVP,43,144317,0.0,13
Rohtas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0564.htm,Sanjeev Kumar,Jan Samuh Party,JSP,35,144317,0.0,14
Rohtas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0564.htm,Subhash Chand Gupta,Bhartiya Rashtrawadi Party,BRP,30,144317,0.0,15
Rohtas Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0564.htm,Nota,None of the Above,NA,630,144317,0.4,16
Seelampur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0565.htm,Chaudhary Zubair Ahmad,Aam Aadmi Party,AAP,79009,133440,59.2,1
Seelampur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0565.htm,Anil Kumar Sharma (Gaur),Bharatiya Janata Party,BJP,36532,133440,27.4,2
Seelampur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0565.htm,Abdul Rehman,Indian National Congress,CONG,16551,133440,12.4,3
Seelampur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0565.htm,Deepak Kumar,Bahujan Samaj Party,BSP,422,133440,0.3,4
Seelampur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0565.htm,Shabana,Rashtriya Republican Party,RRP,177,133440,0.1,5
Seelampur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0565.htm,Mohd Nazir,Republican Party of India (Athawale),RPI(A),107,133440,0.1,6
Seelampur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0565.htm,Mohd Shafi,Independent,Ind.,72,133440,0.1,7
Seelampur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0565.htm,Suman Sharma,Sanjhi Virasat Party,SVP,50,133440,0.0,8
Seelampur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0565.htm,Syed Muneeb,Independent,Ind.,46,133440,0.0,9
Seelampur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0565.htm,Rahisuddin Ahmad,Independent,Ind.,44,133440,0.0,10
Seelampur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0565.htm,Mohd Zubair Malik,Independent,Ind.,29,133440,0.0,11
Seelampur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0565.htm,S. M. Aqif,Independent,Ind.,24,133440,0.0,12
Seelampur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0565.htm,Islauddin,Independent,Ind.,22,133440,0.0,13
Seelampur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0565.htm,Nota,None of the Above,NA,355,133440,0.3,14
Ghonda,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0566.htm,Ajay Mahawar,Bharatiya Janata Party,BJP,79987,140420,57.0,1
Ghonda,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0566.htm,Gaurav Sharma,Aam Aadmi Party,AAP,53929,140420,38.4,2
Ghonda,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0566.htm,Bhisham Sharma,Indian National Congress,CONG,4883,140420,3.5,3
Ghonda,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0566.htm,Sunder Lohiya,Bahujan Samaj Party,BSP,454,140420,0.3,4
Ghonda,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0566.htm,Gaurav Sharma,Independent,Ind.,279,140420,0.2,5
Ghonda,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0566.htm,Babita,Yuva Bharat Rashtraseva Party,YBRP,114,140420,0.1,6
Ghonda,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0566.htm,Shubham,Right to Recall Party,RRP,84,140420,0.1,7
Ghonda,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0566.htm,Anil Singh,Sanjhi Virasat Party,SVP,56,140420,0.0,8
Ghonda,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0566.htm,Advocate Mehak Dogra,Nationalist Congress Party,NCP,46,140420,0.0,9
