seat_name,state_name,url_for_checking,cand_name,cand_party,cand_party_short,cand_votes,total_votes,cand_vote_share_percent,alliance,cand_position
Kalka,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S071.htm,Shakti Rani Sharma,Bharatiya Janata Party,BJP,60612,145960,41.5,NDA,1
Kalka,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S071.htm,Pardeep Chaudhary,Indian National Congress,INC,49729,145960,34.1,INDIA,2
Kalka,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S071.htm,Gopal Sukhomajri,Independent,Ind.,31688,145960,21.7,OTHERS,3
Kalka,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S071.htm,Charan Singh,Bahujan Samaj Party,BSP,1374,145960,0.9,OTHERS,4
Kalka,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S071.htm,Om Parkash Gujjar,Aam Aadmi Party,AAP,858,145960,0.6,INDIA,5
Kalka,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S071.htm,Nota,None of the Above,NA,740,145960,0.5,OTHERS,6
Kalka,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S071.htm,Amit Sharma,Independent,Ind.,582,145960,0.4,OTHERS,7
Kalka,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S071.htm,Vishal,Independent,Ind.,377,145960,0.3,OTHERS,8
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Chander Mohan,Indian National Congress,INC,67397,140502,48.0,INDIA,1
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Gian Chand Gupta,Bharatiya Janata Party,BJP,65400,140502,46.5,NDA,2
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Prem Garg,Aam Aadmi Party,AAP,3332,140502,2.4,INDIA,3
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Dr Kshitij Choudhary,Indian National Lok Dal,INLD,1375,140502,1.0,OTHERS,4
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Sushil Garg,Jannayak Janta Party,JJP,1153,140502,0.8,OTHERS,5
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Nota,None of the Above,NA,987,140502,0.7,OTHERS,6
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,M P Sharma,Independent,Ind.,305,140502,0.2,OTHERS,7
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Natasha Sood,Independent,Ind.,235,140502,0.2,OTHERS,8
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Saroj Bala,Independent,Ind.,150,140502,0.1,OTHERS,9
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Kishan Singh Negi,Right to Recall Party,RRP,110,140502,0.1,OTHERS,10
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Bharat Bhushan Gurjar,Bhartiya Veer Dal,BVD,58,140502,0.0,OTHERS,11
Naraingarh,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S073.htm,Shalley Chaudhary,Indian National Congress,INC,62180,141289,44.0,INDIA,1
Naraingarh,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S073.htm,Dr. Pawan Saini,Bharatiya Janata Party,BJP,47086,141289,33.3,NDA,2
Naraingarh,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S073.htm,Harbilas Singh,Bahujan Samaj Party,BSP,27440,141289,19.4,OTHERS,3
Naraingarh,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S073.htm,Gurpal Singh,Aam Aadmi Party,AAP,3261,141289,2.3,INDIA,4
Naraingarh,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S073.htm,Nota,None of the Above,NA,410,141289,0.3,OTHERS,5
Naraingarh,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S073.htm,Neetu,Independent,Ind.,316,141289,0.2,OTHERS,6
Naraingarh,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S073.htm,Seema Devi,Bhartiya Shakti Chetna Party,BSCP,299,141289,0.2,OTHERS,7
Naraingarh,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S073.htm,Dharampal,Independent,Ind.,297,141289,0.2,OTHERS,8
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Anil Vij,Bharatiya Janata Party,BJP,59858,133323,44.9,NDA,1
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Chitra Sarwara,Independent,Ind.,52581,133323,39.4,OTHERS,2
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Parvinder Pal Pari,Indian National Congress,INC,14469,133323,10.9,INDIA,3
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Onkar Singh,Indian National Lok Dal,INLD,2863,133323,2.1,OTHERS,4
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Avtar Singh,Jannayak Janta Party,JJP,809,133323,0.6,OTHERS,5
