seat_name,state_name,url_for_checking,cand_name,cand_party,cand_party_short,cand_votes,total_votes,cand_vote_share_percent,alliance,cand_position
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Anant Kumar Ojha,Bharatiya Janata Party,BJP,25587,59848,42.8,NDA,1
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Md. Tajuddin,Jharkhand Mukti Morcha,JMM,22500,59848,37.6,Mahagathbandhan (JMM+),2
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Sunil Yadav,Independent,Ind.,9050,59848,15.1,OTHERS,3
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Nota,None of the Above,NA,957,59848,1.6,OTHERS,4
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Saddam Hussain,Independent,Ind.,338,59848,0.6,OTHERS,5
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Nandlal Sah,Lokhit Adhikar Party,LAP,254,59848,0.4,OTHERS,6
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Motilal Sarkar,Jharkhand Loktantrik Krantikari Morcha,JLKM,217,59848,0.4,OTHERS,7
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Murli Dhar Tiwari,Independent,Ind.,185,59848,0.3,OTHERS,8
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Randhir Prasad,Independent,Ind.,168,59848,0.3,OTHERS,9
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Adhir Kumar Mandal,Independent,Ind.,148,59848,0.2,OTHERS,10
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Rameshwar Mandal,Peoples Party of India (Democratic),PPI(D),136,59848,0.2,OTHERS,11
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Naim Sekh,Independent,Ind.,86,59848,0.1,OTHERS,12
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Md Aslam,Independent,Ind.,83,59848,0.1,OTHERS,13
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Gopal Chandra Mandal,Independent,Ind.,81,59848,0.1,OTHERS,14
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Md Sahadat Hussain,Samajwadi Party,SP,58,59848,0.1,OTHERS,15
