playlist_id,playlist_name,source,track_name,track_id,artist_name,artist_id,album_name,album_id,date_released,date_added_to_playlist,date_added_to_master_list
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Need U (100%) (feat. A*M*E) - Radio Edit,5zdkUzguZYAfBH9fnWn3Zl,"Duke Dumont, A*M*E","61lyPtntblHJvA7FMMhi7E, 0tMbQtD3YwrVFk9Lb6abmB",Need U (100%) (feat. A*M*E) [Remixes],3kiROSu1UpNbBPlewWu3f6,2013-03-29,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Need U (100%) (feat. A*M*E) - Waze & Odyssey Remix,1vQ7hCfjuF2OdGiQBpF52R,"Duke Dumont, A*M*E, Waze & Odyssey","61lyPtntblHJvA7FMMhi7E, 0tMbQtD3YwrVFk9Lb6abmB, 0D9AnJzAnYyu1kfJFQDY5d",Need U (100%) (feat. A*M*E) [Remixes],3kiROSu1UpNbBPlewWu3f6,2013-03-29,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Need U (100%) (feat. A*M*E) - Skreamix,6Uc6yEJR5Vdy0SB3kc7ise,"Duke Dumont, A*M*E, Skream","61lyPtntblHJvA7FMMhi7E, 0tMbQtD3YwrVFk9Lb6abmB, 2jbP92oFLWqPqogflK1wlW",Need U (100%) (feat. A*M*E) [Remixes],3kiROSu1UpNbBPlewWu3f6,2013-03-29,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Lights On (feat. Angel & Tinchy Stryder),4LL3ePEFl77qOChBZ9YQ5e,Wiley,7k9T7lZlHjRAM1bb0r9Rm3,The Ascent,7G0kWbJcGHJYNt9rBfq0Wl,2013-03-29,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Apollo - Dash Berlin 4AM Remix,40plDbpVC4dLkTxtqYP9pL,"Hardwell, Amba Shepherd, Dash Berlin","6BrvowZBreEkXzJQMpL174, 4RTCIP5yp2tL1AtBCq7ukj, 1xT5p0VBpnZDrvVSjX9sri",Apollo (The Remixes),31EVCJ9Bvis3kbSNdEGcCp,2013-04-08,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Acrylics,3GV1T0k3QDPKdZgdQUWiZc,"TNGHT, Lunice, Hudson Mohawke","40jiZfvsiAi1aIarh5Z3d3, 5I0593TTVPzkanWW8xsTns, 6olWbKW2VLhFCHfOi0iEDb",ACRYLICS,4OWxBkz1nl10zUzuaC1GBY,2013-04-09,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Waiting All Night - Kidnap Kid Remix,7s09A5GIChsmAi1BWlhW3h,"Rudimental, Kidnap","4WN5naL3ofxrVBgFpguzKo, 3PvqCbhNlq96JXxPszCMZT",Waiting All Night,6Jf8KEBkBLFYZUq3qxrXNl,2013-04-12,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Right Here - Andy C Remix,4EqJZ1bQ55Jq4vi2gHuQdQ,"Rudimental, Andy C","4WN5naL3ofxrVBgFpguzKo, 75HK7rgkmDMTnWwwmcN53N",Waiting All Night,6Jf8KEBkBLFYZUq3qxrXNl,2013-04-12,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Switch It Off,12oPdKdVOneHaAQzN5KIj7,Redlight,4ly0VtIYiDYVA4q6ry0NUk,De Maxx - Long Player 26,2gh8RnUoAkrreKsJlQY8fZ,2013-04-15,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,YEAHHHH,61nmh5woqbQN6rWEv2j8lG,Firebeatz,53YSn9tHwGJ6bq5P0gGoYo,YEAHHHH,57ayZK5UToJnYyXkA6attU,2013-04-15,2021-05-16,2021-05-16
